title,topic,pred_val,authors,journal,links,full_title
mechanically driven biological stimulus bone remodeling diffusive phenomenon,BONE,84.45650935173035,"Giorgio I, dell'Isola F, Andreaus U, Alzahrani F, Hayat T, Lekszycki T,",*Biomechanics and modeling in mechanobiology*,* [On mechanically driven biological stimulus for bone remodeling as a diffusive phenomenon.](https://www.ncbi.nlm.nih.gov/pubmed/31102081),On mechanically driven biological stimulus for bone remodeling as a diffusive phenomenon.
behavioral responses anxiogenic tasks young adult rats neonatal dopamine depletion,BONE,93.18625330924988,"Ogata M, Akita H, Ishibashi H,",*Physiology & behavior*,* [Behavioral responses to anxiogenic tasks in young adult rats with neonatal dopamine depletion.](https://www.ncbi.nlm.nih.gov/pubmed/30738032),Behavioral responses to anxiogenic tasks in young adult rats with neonatal dopamine depletion.
differentiation perimortem trauma heat induced damage use perimortem traits burnt long bones,BONE,70.52202820777893,"Galtés I, Scheirs S,","*Forensic science, medicine, and pathology*",* [Differentiation between perimortem trauma and heat-induced damage: the use of perimortem traits on burnt long bones.](https://www.ncbi.nlm.nih.gov/pubmed/31098890),Differentiation between perimortem trauma and heat-induced damage: the use of perimortem traits on burnt long bones.
chlorantraniliprole mediated effects survival walking abilities respiration coffee berry borer hypothenemus hampei,CELLULAR/SUBCELLULAR,31.29347860813141,"Plata-Rueda A, Martínez LC, Costa NCR, Zanuncio JC, de Sena Fernandes ME, Serrão JE, Guedes RNC, Fernandes FL,",*Ecotoxicology and environmental safety*,"* [Chlorantraniliprole-mediated effects on survival, walking abilities, and respiration in the coffee berry borer, Hypothenemus hampei.](https://www.ncbi.nlm.nih.gov/pubmed/30682633)","Chlorantraniliprole-mediated effects on survival, walking abilities, and respiration in the coffee berry borer, Hypothenemus hampei."
contribution frustules mucilage trails mobility diatom navicula sp,CELLULAR/SUBCELLULAR,83.0398678779602,"Chen L, Weng D, Du C, Wang J, Cao S,",*Scientific reports*,* [Contribution of frustules and mucilage trails to the mobility of diatom Navicula sp.](https://www.ncbi.nlm.nih.gov/pubmed/31089153),Contribution of frustules and mucilage trails to the mobility of diatom Navicula sp.
effects liraglutide fenretinide treatments diabetic phenotype neuronal human bace1 knock mice,CELLULAR/SUBCELLULAR,49.323055148124695,"Dekeryte R, Hull C, Plucińska K, Khan S, Kamli-Salino S, Mody N, Morrice N, McLaughlin C, Gault V, Platt B, Delibegovic M,",*Biochemical pharmacology*,* [Effects of Liraglutide and Fenretinide treatments on the diabetic phenotype of neuronal human BACE1 knock-in mice.](https://www.ncbi.nlm.nih.gov/pubmed/31103416),Effects of Liraglutide and Fenretinide treatments on the diabetic phenotype of neuronal human BACE1 knock-in mice.
impact anti tumor agents er positive mcf 7 her2 positive skbr 3 breast cancer cells biomechanics,CELLULAR/SUBCELLULAR,99.74274039268494,"Metsiou DN, Siatis KE, Giannopoulou E, Papachristou DJ, Kalofonos HP, Koutras A, Athanassiou G,",*Annals of biomedical engineering*,* [The Impact of Anti-tumor Agents on ER-Positive MCF-7 and HER2-Positive SKBR-3 Breast Cancer Cells Biomechanics.](https://www.ncbi.nlm.nih.gov/pubmed/31098800),The Impact of Anti-tumor Agents on ER-Positive MCF-7 and HER2-Positive SKBR-3 Breast Cancer Cells Biomechanics.
cbx5 g9a h3k9me mediated gene repression essential fibroblast activation lung fibrosis,CELLULAR/SUBCELLULAR,73.47054481506348,"Ligresti G, Caporarello N, Meridew JA, Jones DL, Tan Q, Choi KM, Haak AJ, Aravamudhan A, Roden AC, Prakash YS, Lomberk G, Urrutia RA, Tschumperlin DJ,",*JCI insight*,* [CBX5/G9a/H3K9me-mediated gene repression is essential to fibroblast activation during lung fibrosis.](https://www.ncbi.nlm.nih.gov/pubmed/31095524),CBX5/G9a/H3K9me-mediated gene repression is essential to fibroblast activation during lung fibrosis.
modelling mechanical parameters glaucoma,CELLULAR/SUBCELLULAR,65.7557725906372,"Vroemen PAMM, Gorgels TGMF, Webers CAB, de Boer J,","*Tissue engineering. Part B, Reviews*",* [Modelling the Mechanical Parameters of Glaucoma.](https://www.ncbi.nlm.nih.gov/pubmed/31088331),Modelling the Mechanical Parameters of Glaucoma.
monitorable mitochondria targeting dnatrain image guided synergistic cancer therapy,CELLULAR/SUBCELLULAR,77.05320715904236,"Jiang T, Zhou L, Liu H, Zhang P, Liu G, Gong P, Li C, Tan W, Chen J, Cai L,",*Analytical chemistry*,* [Monitorable Mitochondria-Targeting DNAtrain for Image-Guided Synergistic Cancer Therapy.](https://www.ncbi.nlm.nih.gov/pubmed/31088071),Monitorable Mitochondria-Targeting DNAtrain for Image-Guided Synergistic Cancer Therapy.
