title,topic,pred_val,authors,journal,links,full_title,abstract
biomechanical tomographic differences microarchitecture strength trabecular cortical bone early stage male osteoporosis,BONE,98.8% BONE; 0.2% TISSUE/BIOMATERIAL; 0.2% DENTAL/ORAL/FACIAL,"Yeh PS, Lee YW, Chang WH, Wang W, Wang JL, Liu SH, Chen RM,",*PloS one*,* [Biomechanical and tomographic differences in the microarchitecture and strength of trabecular and cortical bone in the early stage of male osteoporosis.](https://www.ncbi.nlm.nih.gov/pubmed/31393911),Biomechanical and tomographic differences in the microarchitecture and strength of trabecular and cortical bone in the early stage of male osteoporosis.,"Osteoporosis is a continuous process of loss of bone tissue. Compared to women, osteoporosis in men is associated with greater morbidity and mortality. In this study, we conducted tomographic and biomechanical evaluations of trabecular and cortical bone in the early stage of male osteoporosis. Male Wistar rats were subjected to orchiectomy and sham operation. Four weeks after being castrated, decreased levels of testosterone in plasma were found and resulted in concurrent bone loss. Separately, the orchiectomy led to significant tomographic alterations in the trabecular bone number, trabecular separation, and trabecular pattern factor. Data of a mechanistic compression test further showed that the orchiectomy diminished the maximum loading force, displacement at maximum load, energy at maximum load, and ultimate stress. Interestingly, orchiectomy-triggered changes in the maximum loading force and tomographic parameters were highly correlated. In contrast, tomographic and biomechanical analyses showed that 4 weeks after rats were orchiectomized, the thickness, area, maximum loading force, bone stiffness, energy at maximum load, and ultimate stress of the cortical bone were not changed. Taken together, this study showed specific differences in the microarchitecture and strength of trabecular bone in the early stage of male osteoporosis."
changes periprosthetic bone mineral density bone turnover markers osseointegrated implant surgery cohort 20 transfemoral amputees 30 month follow,BONE,96.5% BONE; 0.9% DENTAL/ORAL/FACIAL; 0.6% ORTHOPAEDICS/SURGERY,"Hansen RL, Langdahl BL, Jørgensen PH, Petersen KK, Søballe K, Stilling M,",*Prosthetics and orthotics international*,* [Changes in periprosthetic bone mineral density and bone turnover markers after osseointegrated implant surgery: A cohort study of 20 transfemoral amputees with 30-month follow-up.](https://www.ncbi.nlm.nih.gov/pubmed/31385557),Changes in periprosthetic bone mineral density and bone turnover markers after osseointegrated implant surgery: A cohort study of 20 transfemoral amputees with 30-month follow-up.,"The osseointegrated implant system is a treatment option for people with transfemoral amputation, but implant removal is not uncommon. The association between bone mineral density changes or bone turnover markers and the need for implant removal has not previously been investigated."
osteocalcin affects bone mineral mechanical properties female mice,BONE,99.9% BONE; 0.0% TISSUE/BIOMATERIAL; 0.0% DENTAL/ORAL/FACIAL,"Berezovska O, Yildirim G, Budell W, Yagerman S, Pidhaynyy B, Bastien C, van der Meulen MCH, Dowd TL,",*Bone*,* [Osteocalcin affects bone mineral and mechanical properties in female mice.](https://www.ncbi.nlm.nih.gov/pubmed/31401301),Osteocalcin affects bone mineral and mechanical properties in female mice.,"Osteocalcin is one of the most abundant noncollagenous proteins in bone. Phenotypes of osteocalcin knock-out mice (OC-/-) may vary on different backgrounds and with sex. Previous studies using adult female (OC-/-) mice on a mixed genetic background (129/B6) showed osteocalcin inhibited bone formation leading to weaker bone in wild-type (OC+/+). Yet on a pure (B6) genetic background male mice revealed osteocalcin improved fracture resistance and OC-/- bones were more prone to fracture. Osteocalcin is decreased with age and in some diseases (diabetes) where bone weakness is observed. The effect of osteocalcin in adult female bone from mice on a pure B6 background is unknown. We investigated differences in bone mineral properties and bone strength in female adult (6 months) (OC+/+) and (OC-/-) mice on a pure C57BL/6J background using Fourier Transform Infrared Imaging (FTIRI), micro-computed tomography (uCT), biomechanical measurements, histomorphometry and serum turnover markers (P1NP, CTX). Similar to female age matched mice on the (129/C57) background we found B6 OC-/- mice had a higher bone formation rate, no change in bone resorption, more immature mineral, decreased crystallinity and increased trabecular bone as compared to OC+/+. In contrast, the OC-/- mice on a pure B6 background had a lower bone mineral density, lower mineral to matrix ratio resulting in reduced stiffness and weaker bone strength. Our results demonstrate some properties of the OC-/- phenotype are dependent on genetic background. This may suggest that reduced osteocalcin may contribute to fracture and weaker bone in some groups of elderly and adults with diseases where osteocalcin is low."
effect type 2 diabetes bone biomechanics,BONE,98.1% BONE; 0.3% ORTHOPAEDICS/SURGERY; 0.2% DENTAL/ORAL/FACIAL,"Karim L, Rezaee T, Vaidya R,",*Current osteoporosis reports*,* [The Effect of Type 2 Diabetes on Bone Biomechanics.](https://www.ncbi.nlm.nih.gov/pubmed/31392668),The Effect of Type 2 Diabetes on Bone Biomechanics.,"There is ample evidence that patients with type 2 diabetes (T2D) have increased risk of fracture even though they have normal or high bone mineral density. As a result, poor bone quality is suggested to contribute to skeletal fragility in this population. Thus, our goal was to conduct a comprehensive literature review to understand how bone quality components are altered in T2D and their effects on bone biomechanics and fracture risk."
development novel murine delayed secondary fracture healing vivo model using periosteal cauterization,BONE,94.8% BONE; 1.2% TISSUE/BIOMATERIAL; 1.1% ORTHOPAEDICS/SURGERY,"Gröngröft I, Wissing S, Meesters DM, Poeze M, Matthys-Mark R, Ito K, Zeiter S,",*Archives of orthopaedic and trauma surgery*,* [Development of a novel murine delayed secondary fracture healing in vivo model using periosteal cauterization.](https://www.ncbi.nlm.nih.gov/pubmed/31399754),Development of a novel murine delayed secondary fracture healing in vivo model using periosteal cauterization.,"Delayed union and nonunion development remain a major clinical problematic complication during fracture healing, with partially unclear pathophysiology. Incidences range from 5 to 40% in high-risk patients, such as patients with periosteal damage. The periosteum is essential in adequate fracture healing, especially during soft callus formation. In this study, we hypothesize that inducing periosteal damage in a murine bone healing model will result in a novel delayed union model."
morphological alterations mouse skeletal muscles early ageing muscle specific,CARDIOVASCULAR/CARDIOPULMONARY,29.1% CARDIOVASCULAR/CARDIOPULMONARY; 18.4% COMPARATIVE; 8.8% EVOLUTION/ANTHROPOLOGY,"Messa GAM, Piasecki M, Hill C, McPhee JS, Tallis J, Degens H,",*Experimental gerontology*,* [Morphological alterations of mouse skeletal muscles during early ageing are muscle specific.](https://www.ncbi.nlm.nih.gov/pubmed/31400439),Morphological alterations of mouse skeletal muscles during early ageing are muscle specific.,"One of the hallmarks of ageing is muscle wasting that may be preceded by morphological changes, such as capillary rarefaction. Muscle-specific changes in morphology in early ageing may differ between locomotor and respiratory muscles. To investigate this, we compared capillarization, fiber type composition, fiber cross-sectional area (FCSA) and oxidative capacity of individual fibers of the soleus (n = 6/5 for 20- and 79 weeks, respectively), extensor digitorum longus (EDL: n = 3/3) and diaphragm (n = 7/5) muscles in 20- (mature) and 79-week-old (early ageing) CD-1 female mice. There was no significant loss of soleus and EDL mass. The FCSA was larger and the capillary density lower at 79 than 20 weeks in the diaphragm, while in the EDL the opposite was found (both p ≤ 0.002) with no significant ageing-related differences in the soleus. The heterogeneity in capillary spacing, which may negatively impact on muscle oxygenation, was highest in muscles from 20-week-old mice, irrespective of muscle (p ≤ 0.011). Succinate dehydrogenase activity, indicative of oxidative capacity, and capillary to fiber ratio did not significantly change with age in any muscle. At all ages, the capillary supply to a fiber was positively related to FCSA in each muscle. We conclude that despite previously reported early age-related reductions in specific tension in both locomotor and respiratory muscles, morphological changes show a muscle-specific pattern in early ageing CD-1 mice. Specifically, early ageing was associated with 1) diaphragm hypertrophy 2) and fiber atrophy in the EDL that was not accompanied by angiogenesis, capillary rarefaction or reductions in oxidative capacity."
spatially resolved quantitative model early atherosclerosis,CARDIOVASCULAR/CARDIOPULMONARY,94.8% CARDIOVASCULAR/CARDIOPULMONARY; 2.1% MODELING; 1.5% CELLULAR/SUBCELLULAR,"Thon MP, Myerscough MR, Gee MW,",*Bulletin of mathematical biology*,* [A Spatially Resolved and Quantitative Model of Early Atherosclerosis.](https://www.ncbi.nlm.nih.gov/pubmed/31392575),A Spatially Resolved and Quantitative Model of Early Atherosclerosis.,"Atherosclerosis is a major burden for all societies, and there is a great need for a deeper understanding of involved key inflammatory, immunological and biomechanical processes. A decisive step for the prevention and medical treatment of atherosclerosis is to predict what conditions determine whether early atherosclerotic plaques continue to grow, stagnate or become regressive. The driving biological and mechanobiological mechanisms that determine the stability of plaques are yet not fully understood. We develop a spatially resolved and quantitative mathematical model of key contributors of early atherosclerosis. The stability of atherosclerotic model plaques is assessed to identify and classify progression-prone and progression-resistant atherosclerotic regions based on measurable or computable in vivo inputs, such as blood cholesterol concentrations and wall shear stresses. The model combines Darcy's law for the transmural flow through vessels walls, the Kedem-Katchalsky equations for endothelial fluxes of lipoproteins, a quantitative model of early plaque formation from a recent publication and a novel submodel for macrophage recruitment. The parameterization and analysis of the model suggest that the advective flux of lipoproteins through the endothelium is decisive, while the influence of the advective transport within the artery wall is negligible. Further, regions in arteries with an approximate wall shear stress exposure below 20% of the average exposure and their surroundings are potential regions where progression-prone atherosclerotic plaques develop."
engineered monomer binding protein α synuclein efficiently inhibits proliferation amyloid fibrils,CELLULAR/SUBCELLULAR,94.5% CELLULAR/SUBCELLULAR; 1.5% TISSUE/BIOMATERIAL; 1.4% NEURAL,"Agerschou ED, Flagmeier P, Saridaki T, Galvagnion C, Komnig D, Heid L, Prasad V, Shaykhalishahi H, Willbold D, Dobson CM, Voigt A, Falkenbürger B, Hoyer W, Buell AK,",*eLife*,* [An engineered monomer binding-protein for α-synuclein efficiently inhibits the proliferation of amyloid fibrils.](https://www.ncbi.nlm.nih.gov/pubmed/31389332),An engineered monomer binding-protein for α-synuclein efficiently inhibits the proliferation of amyloid fibrils.,"Removing or preventing the formation of α-synuclein aggregates is a plausible strategy against Parkinson's disease. To this end we have engineered the β-wrapin AS69 to bind monomeric α-synuclein with high affinity. In cultured cells, AS69 reduced the self-interaction of α-synuclein and the formation of visible α-synuclein aggregates. In flies, AS69 reduced α-synuclein aggregates and the locomotor deficit resulting from α-synuclein expression in neuronal cells. In biophysical experiments in vitro, AS69 highly sub-stoichiometrically inhibited both primary and autocatalytic secondary nucleation processes, even in the presence of a large excess of monomer. We present evidence that the AS69-α-synuclein complex, rather than the free AS69, is the inhibitory species responsible for sub-stoichiometric inhibition of secondary nucleation. These results represent a new paradigm that high affinity monomer binders can lead to strongly sub-stoichiometric inhibition of nucleation processes."
biophysical biochemical characteristics complementary indicators melanoma progression,CELLULAR/SUBCELLULAR,97.2% CELLULAR/SUBCELLULAR; 1.5% TISSUE/BIOMATERIAL; 0.4% METHODS,"Bobrowska J, Awsiuk K, Pabijan J, Bobrowski P, Lekki J, Sowa KM, Rysz J, Budkowski A, Lekka M,",*Analytical chemistry*,* [Biophysical and Biochemical Characteristics as Complementary Indicators of Melanoma Progression.](https://www.ncbi.nlm.nih.gov/pubmed/31310097),Biophysical and Biochemical Characteristics as Complementary Indicators of Melanoma Progression.,"The multistep character of cancer progression makes it difficult to define a unique biomarker of the disease. Interdisciplinary approaches, combining various complementary techniques, especially those operating at a nanoscale level, potentially accelerate characterization of cancer cells or tissue properties. Here, we study a relation between the surface and biomechanical properties of melanoma cells, measured by mass spectrometry (ToF-SIMS) and atomic force microscopy (AFM). In total, seven cell lines have been studied. Six of them were melanoma cells derived from various stages of tumor progression: (1) WM115 cells derived from a 55 year old female skin melanoma at a vertical growth phase (VGP) in the primary melanoma site, (2) WM793 cells established from the vertical growth phase (VGP) of a primary skin melanoma lesion, (3) WM266-4 cells established from a cutaneous skin metastasis detected in the same patient as WM115 cells, (4) WM239 cells derived from a cutaneous skin metastasis, (5) 1205Lu cells originated from a lung metastasis diagnosed in the same patient as WM793 cells, and (6) A375P-cells were derived from a solid malignant tumor located in the lung. As a reference cell line, human epidermal melanocytes from adult skin (primary cell line HEMa-LP) were used. Results reveal low, medium, and large deformability of melanoma cells originating from vertical growth phase (VGP), and skin and lung metastasis, respectively. These changes were accompanied by distinct outcome from principal component analysis (PCA). In relation to VGP melanoma cells, cells from skin and lung metastasis reveal similar or significantly different surface properties. The largest deformability difference observed for cells from VGP and lung metastasis was accompanied by the largest separation of unspecific changes in their surface properties. In this way, we show the evidence that biomechanical and surface biochemical properties of cells change in parallel, indicating a potential of being used as nanobiophysical fingerprints of melanoma progression."
hierarchical network hypoxia inducible factor smad proteins governs procollagen lysyl hydroxylase 2 induction hypoxia transforming growth factor β1,CELLULAR/SUBCELLULAR,84.2% CELLULAR/SUBCELLULAR; 5.1% TISSUE/BIOMATERIAL; 3.5% CARDIOVASCULAR/CARDIOPULMONARY,"Rosell-García T, Palomo-Álvarez O, Rodríguez-Pascual F,",*The Journal of biological chemistry*,* [A hierarchical network of hypoxia-inducible factor and SMAD proteins governs procollagen lysyl hydroxylase 2 induction by hypoxia and transforming growth factor β1.](https://www.ncbi.nlm.nih.gov/pubmed/31391253),A hierarchical network of hypoxia-inducible factor and SMAD proteins governs procollagen lysyl hydroxylase 2 induction by hypoxia and transforming growth factor β1.,"Collagens are extracellular matrix (ECM) proteins that support the structural and biomechanical integrity of many tissues. Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 (PLOD2) encodes the only lysyl hydroxylase (LH) isoform that specifically hydroxylates lysine residues in collagen telopeptides, a post-translational modification required for the formation of stabilized cross-links. PLOD2 expression is induced by hypoxia and transforming growth factor-β1 (TGF-β1), well-known stimuli for the formation of a fibrotic ECM, which can lead to pathological fibrosis underlying several diseases. Here, using human and murine fibroblasts, we studied the molecular determinants underlying hypoxia- and TGF-β1-induced PLOD2 expression and its impact on collagen biosynthesis. Deletion mapping and mutagenesis analysis identified specific binding sites for hypoxia-inducible factors (HIF) and TGF-β1-activated SMAD proteins on the human <i>PLOD2</i> gene promoter that were required for these stimuli to induce <i>PLOD2</i> expression. Interestingly, our experiments also revealed that HIF signaling plays a preponderant role over the SMAD pathway, as intact HIF sites were absolutely required for TGF-β1 to exert its effect on SMAD binding sites. We also found that silencing <i>PLOD2</i> expression did not alter soluble collagen accumulation in the extracellular medium, but it effectively abolished the deposition into the insoluble collagen matrix. Taken together, our findings reveal the existence of a hierarchical relationship between the HIF and SMAD signaling pathways for hypoxia- and TGF-β1-mediated regulation of <i>PLOD2</i> expression, a key event in the deposition of collagen into the ECM."
