title,topic,pred_val,authors,journal,links,full_title,abstract
number injury events associated critical size bipolar bone defects rugby players traumatic anterior shoulder instability,BONE,23.2% BONE; 20.6% JOINT/CARTILAGE; 17.1% SPORT/EXERCISE,"Hasegawa Y, Kawasaki T, Nojiri S, Sobue S, Kaketa T, Gonda Y, Itoigawa Y, Kaneko K,",*The American journal of sports medicine*,* [The Number of Injury Events Associated With the Critical Size of Bipolar Bone Defects in Rugby Players With Traumatic Anterior Shoulder Instability.](https://www.ncbi.nlm.nih.gov/pubmed/31425666),The Number of Injury Events Associated With the Critical Size of Bipolar Bone Defects in Rugby Players With Traumatic Anterior Shoulder Instability.,"The size of a glenoid bone defect is responsible for reduction in shoulder stability and is correlated with the number of instability events. Biomechanical studies have suggested that it should be considered concomitantly with the Hill-Sachs lesion as ""bipolar"" bone defects for assessing structural degradation, but the definitive number of instability events associated with the critical size has not been investigated."
porous polymeric hydroxyapatite scaffold used femur fractures treatment fabrication analysis simulation,BONE,68.9% BONE; 11.8% TISSUE/BIOMATERIAL; 6.1% ORTHOPAEDICS/SURGERY,"Esmaeili S, Akbari Aghdam H, Motififard M, Saber-Samandari S, Montazeran AH, Bigonah M, Sheikhbahaei E, Khandan A,",*European journal of orthopaedic surgery & traumatology : orthopedie traumatologie*,"* [A porous polymeric-hydroxyapatite scaffold used for femur fractures treatment: fabrication, analysis, and simulation.](https://www.ncbi.nlm.nih.gov/pubmed/31420732)","A porous polymeric-hydroxyapatite scaffold used for femur fractures treatment: fabrication, analysis, and simulation.",One of the most common fractures in the skeleton happens in the femur. One of the important reasons for this fracture is because it is the longest bone in the body and osteoporosis affect this part a lot. The geometric complexity and anisotropy properties of this bone have received a lot of attention in the orthopedic field.
extracellular regulated kinase 5 mediates osteoporosis modulating viability apoptosis osteoblasts ovariectomized rats,BONE,99.4% BONE; 0.2% TISSUE/BIOMATERIAL; 0.1% CELLULAR/SUBCELLULAR,"Guo TM, Xing YL, Zhu HY, Yang L, Liu GX, Qiao XM,",*Bioscience reports*,* [Extracellular regulated kinase 5 mediates osteoporosis through modulating viability and apoptosis of osteoblasts in ovariectomized rats.](https://www.ncbi.nlm.nih.gov/pubmed/31413169),Extracellular regulated kinase 5 mediates osteoporosis through modulating viability and apoptosis of osteoblasts in ovariectomized rats.,"Postmenopausal osteoporosis is a common condition characterized by the increase and activation of osteoclasts. This study aimed to investigate the effects of extracellular regulated kinase (ERK) 5 on postmenopausal osteoporosis by regulating the biological behaviors of osteoblasts. Sprague-Dawley rats were ovariectomized to develop an osteoporosis model. A lentivirus packaging system was employed to generate lentiviruses capable of upregulating or downregulating the expression of ERK-5 in ovariectomized rats. The femoral biomechanical properties, bone mineral density (BMD), contents of Ca, P and alkaline phosphatase (ALP) and bone turnover markers in rats, as well as viability, cycle and apoptosis of osteoblasts and ALP activity in osteoblasts were measured in the ovariectomized rats so as to explore the functional significance of ERK-5 in postmenopausal osteoporosis. The femoral mechanical strength of ovariectomized rats was enhanced by overexpression of ERK-5. Meanwhile femoral BMD, and bone metabolism were increased, and bone turnover normalized in the ovariectomized rats when ERK-5 was overexpressed. Lentivirus-mediated ERK-5 overexpression in osteoblasts was observed to inhibit osteoblast apoptosis, and promote viability, accompanied with increased ALP activity. Taken together, ERK-5 could decelerate osteoblast apoptosis and improve postmenopausal osteoporosis by increasing osteoblast viability. Thus, our study provides further understanding on a promising therapeutic target for postmenopausal osteoporosis."
mir‑151a 3p promotes postmenopausal osteoporosis targeting socs5 activating jak2 stat3 signaling,BONE,93.3% BONE; 2.6% CELLULAR/SUBCELLULAR; 1.3% TISSUE/BIOMATERIAL,"Fu Y, Xu Y, Chen S, Ouyang Y, Sun G,",*Rejuvenation research*,* [MiR‑151a-3p promotes postmenopausal osteoporosis by targeting SOCS5 and activating JAK2/STAT3 signaling.](https://www.ncbi.nlm.nih.gov/pubmed/31411118),MiR‑151a-3p promotes postmenopausal osteoporosis by targeting SOCS5 and activating JAK2/STAT3 signaling.,"Postmenopausal osteoporosis, the most common type of primary osteoporosis, poses a significant threat to women's health worldwide. However, detailed molecular mechanism and therapeutic strategy for postmenopausal osteoporosis remains insufficient. Increasing evidence suggests that miRNAs contributed to the pathogenesis of osteoporosis and could be considered as potential therapeutic targets. In this study, we found that miR‑151a-3p was upregulated in osteoporosis samples. Experiments in MC3T3-E1 cells indicated that miR‑151a-3p significantly inhibited cell viability and promotes LDH release, as well as increased RANKL/OPG ratio and decreased Runx2 and BMP2 expressions. SOCS5 was identified as a direct target gene of miR-151a-3p, which was confirmed by luciferase reporter assay. Moreover, an inverse correlation between miR-151a-3p and SOCS5 was also observed in osteoporosis femurs. Additionally, JAK2/STAT3 pathway was founded to be involved in the progress of osteoporosis mediated by miR-151a-3p-SOCS5 axis. In vivo, ovariectomized rat model was established to simulate postmenopausal osteoporosis. The results revealed that miR-151a-3p significantly decreased the bone mineral density and biomechanical parameters of femurs in ovariectomized rats by targeting SOCS5, and that JAK2/STAT3 pathway is a downstream target for the role of miR-151a-3p-SOCS5 axis on ovariectomized rats. In conclusion, our findings suggested that miR-151a-3p contributed to the pathogenesis of postmenopausal osteoporosis and promoted its progress by targeting SOCS5 and activating JAK2/STAT3 signaling. Thus, anti-miR-151a-3p could be a potential therapeutic strategy for postmenopausal osteoporosis."
bone stress injuries associated differences bone microarchitecture male professional soldiers,BONE,99.7% BONE; 0.1% METHODS; 0.0% ORTHOPAEDICS/SURGERY,"Schanda JE, Kocijan R, Resch H, Baierl A, Feichtinger X, Mittermayr R, Plachel F, Wakolbinger R, Wolff K, Fialka C, Gruther W, Muschitz C,",*Journal of orthopaedic research : official publication of the Orthopaedic Research Society*,* [Bone Stress Injuries are Associated with Differences in Bone Microarchitecture in Male Professional Soldiers.](https://www.ncbi.nlm.nih.gov/pubmed/31410876),Bone Stress Injuries are Associated with Differences in Bone Microarchitecture in Male Professional Soldiers.,"Bone stress injuries are commonly due to repetitive loading, as often described in competitive athletes or military recruits. The underlying pathophysiology of bone stress injuries is multifactorial. The present cross-sectional study investigated (1) cortical and trabecular bone microstructure as well as volumetric bone mineral density in subjects with bone stress injuries at the tibial diaphysis, measured at the distal tibia and the distal radius by means of high-resolution peripheral quantitative computed tomography, (2) areal bone mineral density using dual-energy X-ray absorptiometry as well as calcaneal dual X-ray absorptiometry and laser, and (3) the influence on bone turnover markers of formation and resorption at the early phase after injury. A total of 26 Caucasian male professional soldiers with post-training bone stress injury at the tibial diaphysis were included (case group). A total of 50 male, Caucasian professional soldiers from the same military institution served as controls (control group). High-resolution peripheral quantitative computed tomography revealed a higher total area at the radius within the case group. Cortical bone mineral density was reduced at the radius and tibia within the case group. Trabecular number and trabecular thickness were reduced at the tibia in the case group. The trabecular network was more inhomogeneous at the radius and tibia within the case group. Calcaneal dual X-ray absorptiometry and laser was significantly reduced in the case group. This study quantified differences in bone microstructure among otherwise healthy individuals. Differences in bone microarchitecture may impair the biomechanical properties by increasing the susceptibility to sustain bone stress injuries. This article is protected by copyright. All rights reserved."
proximal bone remodeling lower limb amputees reconstructed osseointegrated prosthesis,BONE,72.2% BONE; 12.8% ORTHOPAEDICS/SURGERY; 4.8% ORTHOPAEDICS/SPINE,"Thomson S, Lu W, Zreiqat H, Li JJ, Tetsworth K, Muderis MA,",*Journal of orthopaedic research : official publication of the Orthopaedic Research Society*,* [Proximal bone remodeling in lower limb amputees reconstructed with an osseointegrated prosthesis.](https://www.ncbi.nlm.nih.gov/pubmed/31424108),Proximal bone remodeling in lower limb amputees reconstructed with an osseointegrated prosthesis.,"Mobility outcomes and changes in bone mineral density (BMD) of the spine and femoral necks in response to unilateral osseointegrated implants was investigated over a three year period. A total of 48 unilateral amputees who received an osseointegrated implant, comprising 33 trans-femoral amputees (TFA) and 15 trans-tibial amputees (TTA), underwent dual-energy x-ray absorptiometry (DXA) scans of the lumbar spine (L2-L4) and femoral necks at baseline, one-year, and three-years follow-up. Mobility outcomes, including the Six Minute-Walk Test (6MWT) and Timed-Up-and-Go (TUG), were measured before surgery, at one-year, and more than two years following the osseointegration procedure. We observed a significant increase (p < 0.05) in Z-Score values in the femoral neck of the amputated side in TFA patients without a femoral neck lag screw at the one-year and three-year follow-ups, as well as in TFA patients with a lag screw present at three-years follow-up. BMD at one-year follow-up was found to be positively correlated with pre-surgery 6MWT values in patients who were mobile using a traditional socket prosthesis before receiving an osseointegrated implant. These results suggest that osseointegrated implants induce a physiological response in the femoral neck of recipients and appear to be evidence of restored biomechanical loading in the proximal femur. Bone Remodeling, Osseointegration, Biomechanics, Amputee, Radiology This article is protected by copyright. All rights reserved."
impact balloon expandable transcatheter aortic valve replacement concomitant mitral regurgitation comprehensive computational analysis,CARDIOVASCULAR/CARDIOPULMONARY,99.6% CARDIOVASCULAR/CARDIOPULMONARY; 0.2% MODELING; 0.1% TISSUE/BIOMATERIAL,"Caballero A, Mao W, McKay R, Sun W,","*Journal of the Royal Society, Interface*",* [The impact of balloon-expandable transcatheter aortic valve replacement on concomitant mitral regurgitation: a comprehensive computational analysis.](https://www.ncbi.nlm.nih.gov/pubmed/31409236),The impact of balloon-expandable transcatheter aortic valve replacement on concomitant mitral regurgitation: a comprehensive computational analysis.,"The aortic and mitral valves function in a reciprocal interdependent fashion. However, the impact of transcatheter aortic valve replacement (TAVR) on the aortic-mitral continuity and severity of mitral regurgitation (MR) are poorly understood. In this study, a comprehensive engineering analysis was performed to investigate the impact of TAVR on MR severity and left heart dynamics in a retrospective patient case who harbours bicuspid aortic valve stenosis and concomitant functional MR. The TAVR procedure was computer simulated using a balloon-expandable valve, and the impact of three implantation heights on aortic-mitral coupling, MR severity and device performance were analysed. The accuracy and predictability of the computer modelling framework were validated with pre- and post-operative echo data. The highest deployment model resulted in higher stresses in the native leaflets, contact radial force and stent recoil, while the midway implantation model gave better haemodynamic performance and MR reduction in this patient case. Although the regurgitant volume decreased (less than 10%) for the three deployment configurations, no significant differences in MR severity improvement and mitral leaflet tethering were found. Acute improvement in MR was (i) due to the mechanical compression of the stent against the aortic-mitral curtain, (ii) due to an immediate drop in the ventricular pressure and transmitral pressure gradient. Albeit a single real clinical case, it is our hope that such detailed engineering computational analysis could shed light on the underlying biomechanical mechanisms of TAVR impact on MR."
biomechanics aortic wall failure focus dissection aneurysm review,CARDIOVASCULAR/CARDIOPULMONARY,98.3% CARDIOVASCULAR/CARDIOPULMONARY; 0.9% TISSUE/BIOMATERIAL; 0.3% MODELING,"Sherifova S, Holzapfel GA,",*Acta biomaterialia*,* [Biomechanics of Aortic Wall Failure with a Focus on Dissection and Aneurysm: A Review.](https://www.ncbi.nlm.nih.gov/pubmed/31419563),Biomechanics of Aortic Wall Failure with a Focus on Dissection and Aneurysm: A Review.,"Aortic dissections and aortic aneurysms are fatal events characterized by structural changes to the aortic wall. The maximum diameter criterion, typically used for aneurysm rupture risk estimations, has been challenged by more sophisticated biomechanically motivated models in the past. Although these models are very helpful for the clinicians in decision-making, they do not attempt to capture material failure. Following a short overview of the microstructure of the aorta, we analyze the failure mechanisms involved in the dissection and rupture by considering also traumatic rupture. We continue with a literature review of experimental studies relevant to quantify tissue strength. More specifically, we summarize more extensively uniaxial tensile, bulge inflation and peeling tests, and we also specify trouser, direct tension and in-plane shear tests. Finally we analyze biomechanically motivated models to predict rupture risk. Based on the findings of the reviewed studies and the rather large variations in tissue strength, we propose that an appropriate material failure criterion for aortic tissues should also reflect the microstructure in order to be effective."
studying nucleic envelope plasma membrane mechanics eukaryotic cells using confocal reflectance interferometric microscopy,CELLULAR/SUBCELLULAR,97.9% CELLULAR/SUBCELLULAR; 0.8% TISSUE/BIOMATERIAL; 0.5% METHODS,"Singh VR, Yang YA, Yu H, Kamm RD, Yaqoob Z, So PTC,",*Nature communications*,* [Studying nucleic envelope and plasma membrane mechanics of eukaryotic cells using confocal reflectance interferometric microscopy.](https://www.ncbi.nlm.nih.gov/pubmed/31409824),Studying nucleic envelope and plasma membrane mechanics of eukaryotic cells using confocal reflectance interferometric microscopy.,"Mechanical stress on eukaryotic nucleus has been implicated in a diverse range of diseases including muscular dystrophy and cancer metastasis. Today, there are very few non-perturbative methods to quantify nuclear mechanical properties. Interferometric microscopy, also known as quantitative phase microscopy (QPM), is a powerful tool for studying red blood cell biomechanics. The existing QPM tools, however, have not been utilized to study biomechanics of complex eukaryotic cells either due to lack of depth sectioning, limited phase measurement sensitivity, or both. Here, we present depth-resolved confocal reflectance interferometric microscopy as the next generation QPM to study nuclear and plasma membrane biomechanics. The proposed system features multiple confocal scanning foci, affording 1.5 micron depth-resolution and millisecond frame rate. Furthermore, a near common-path interferometer enables quantifying nanometer-scale membrane fluctuations with better than 200 picometers sensitivity. Our results present accurate quantification of nucleic envelope and plasma membrane fluctuations in embryonic stem cells."
elastic modulus migration capability drug treated leukemia cells k562,CELLULAR/SUBCELLULAR,97.0% CELLULAR/SUBCELLULAR; 1.4% TISSUE/BIOMATERIAL; 0.5% BONE,"Wang K, Xue Y, Peng Y, Pang X, Zhang Y, Ruiz-Ortega LI, Tian Y, Ngan AHW, Tang B,",*Biochemical and biophysical research communications*,* [Elastic modulus and migration capability of drug treated leukemia cells K562.](https://www.ncbi.nlm.nih.gov/pubmed/31204049),Elastic modulus and migration capability of drug treated leukemia cells K562.,"Leukemia is a commonly seen disease caused by abnormal differentiation of hematopoietic stem cells and blasting in bone marrow. Despite drugs are used to treat the disease clinically, the influence of these drugs on leukemia cells' biomechanical properties, which are closely related to complications like leukostasis or infiltration, is still unclear. Due to non-adherent and viscoelastic nature of leukemia cells, accurate measurement of their elastic modulus is still a challenging issue. In this study, we adopted rate-jump method together with optical tweezers indentation to accurately measure elastic modulus of leukemia cells K562 after phorbol 12-myristate 13-acetate (PMA), all-trans retinoic acid (ATRA), Cytoxan (CTX), and Dexamethasone (DEX) treatment, respectively. We found that compared to control sample, K562 cells treated by PMA showed nearly a threefold increase in elastic modulus. Transwell experiment results suggested that the K562 cells treated with PMA have the lowest migration capability. Besides, it was shown that the cytoskeleton protein gene α-tubulin and vimentin have a significant increase in expression after PMA treatment by qPCR. The results indicate that PMA has a significant influence on protein expression, stiffness, and migration ability of the leukemia cell K562, and may also play an important role in the leukostasis in leukemia."
