title,topic,pred_val,authors,journal,links,full_title,abstract
influence trail adiponectin sclerostin alterations bone loss bdl induced cirrhotic rats effect opioid system blockade,BONE,86.8% BONE; 2.1% CELLULAR/SUBCELLULAR; 1.8% TISSUE/BIOMATERIAL,"Moradi M, Doustimotlagh AH, Dehpour AR, Rahimi N, Golestani A,",*Life sciences*,"* [The influence of TRAIL, adiponectin and sclerostin alterations on bone loss in BDL-induced cirrhotic rats and the effect of opioid system blockade.](https://www.ncbi.nlm.nih.gov/pubmed/31369758)","The influence of TRAIL, adiponectin and sclerostin alterations on bone loss in BDL-induced cirrhotic rats and the effect of opioid system blockade.","Osteoporosis is a common extra-hepatic complication in patients with chronic liver disease. Tumor necrosis factor related apoptosis-inducing ligand (TRAIL), sex hormones, adiponectin, and sclerostin are involved in the regulation of bone turnover but little is known about their role in the promotion of hepatic osteodystrophy. Endogenous opioids are reported to increase during cholestasis and may influence bone resorption. The purpose of this study was to investigate the circulating levels of these factors and their expression in the femur of bile duct ligated (BDL) rats, to evaluate the biomechanical bone strength, and the effect of naltrexone (NTX)."
high impact exercise improves bone microstructure strength growing rats,BONE,97.9% BONE; 0.3% VETERINARY/AGRICULTURAL; 0.3% DENTAL/ORAL/FACIAL,"Mustafy T, Londono I, Moldovan F, Villemure I,",*Scientific reports*,* [High Impact Exercise Improves Bone Microstructure and Strength in Growing Rats.](https://www.ncbi.nlm.nih.gov/pubmed/31511559),High Impact Exercise Improves Bone Microstructure and Strength in Growing Rats.,"Physical activity is beneficial for skeletal development. However, impact sports during adolescence, leading to bone growth retardation and/or bone quality improvement, remains unexplained. This study investigated the effects of in vivo low (LI), medium (MI), and high (HI) impact loadings applied during puberty on bone growth, morphometry and biomechanics using a rat model. 4-week old rats (n = 30) were divided into control, sham, LI, MI, and HI groups. The impact was applied on the right tibiae, 5 days/week for 8 weeks mimicking walking (450 µε), uphill running (850 µε) and jumping (1250 µε) conditions. Trabecular and cortical parameters were determined by micro-CT, bone growth rate by calcein labeling and toluidine blue staining followed by histomorphometry. Bio-mechanical properties were evaluated from bending tests. HI group reduced rat body weight and food consumption compared to shams. Bone growth rate also decreased in MI and HI groups despite developing thicker hypertrophic and proliferative zone heights. HI group showed significant increment in bone mineral density, trabecular thickness, cortical and total surface area. Ultimate load and stiffness were also increased in MI and HI groups. We conclude that impact loading during adolescence reduces bone growth moderately but improves bone quality and biomechanics at the end of the growing period."
calcium alleviates fluoride induced bone damage inhibiting endoplasmic reticulum stress mitochondrial dysfunction,BONE,34.5% BONE; 21.4% CELLULAR/SUBCELLULAR; 11.6% TISSUE/BIOMATERIAL,"Wang J, Yang J, Cheng X, Xiao R, Zhao Y, Xu H, Zhu Y, Yan Z, Ommati MM, Manthari RK, Wang J,",*Journal of agricultural and food chemistry*,* [Calcium Alleviates Fluoride-Induced Bone Damage by Inhibiting Endoplasmic Reticulum Stress and Mitochondrial Dysfunction.](https://www.ncbi.nlm.nih.gov/pubmed/31464433),Calcium Alleviates Fluoride-Induced Bone Damage by Inhibiting Endoplasmic Reticulum Stress and Mitochondrial Dysfunction.,"Excessive fluoride mainly causes skeletal lesions. Recently, it has been reported that an appropriate level of calcium can alleviate fluorosis. However, the appropriate concentration and mechanism of calcium addition is unclear. Hence, we evaluated the histopathology and ultrastructure, DNA fragmentation, hormonal imbalances, biomechanical levels, and expression of apoptosis-related genes after treating the rats with 150 mg/L NaF and different concentrations of CaCO<sub>3</sub>. Our results suggested that NaF induced the histopathological and ultrastructural injury, with a concomitant increase in the DNA fragmentation (<i>P</i> < 0.05) and serum OC (17.5 ± 0.89 pmoL/L) at 120 days. In addition, the qRT-PCR and western blotting results indicated that NaF exposure upregulated the mRNA and protein expression of Bax, Calpain, Caspase 12, Caspase 9, Caspase 7, Caspase 3, CAD, PARP, and AIF while downregulated Bcl-2 (<i>P</i> < 0.01) and decreased the bone ultimate load by 27.1%, the ultimate stress by 10.1%, and the ultimate deformity by 23.3% at 120 days. However, 1% CaCO<sub>3</sub> supplementation decreased the serum OC (14.7 ± 0.65 pmoL/L), bone F content (<i>P</i> < 0.01), and fracture and breakage of collagen fibers and changed the expression of endoplasmic reticulum pathway-related genes and proteins at 120 days. Further, 1% CaCO<sub>3</sub> supplementation increased the bone ultimate load by 20.9%, the ultimate stress by 4.89%, and the ultimate deformity by 21.6%. In summary, we conclude that 1% CaCO<sub>3</sub> supplementation alleviated fluoride-induced bone damage by inhibiting endoplasmic reticulum stress and mitochondrial dysfunction."
effect fabric accuracy computed tomography based finite element analyses vertebra,BONE,49.2% BONE; 28.6% MODELING; 9.2% ORTHOPAEDICS/SPINE,"Wu Y, Morgan EF,",*Biomechanics and modeling in mechanobiology*,* [Effect of fabric on the accuracy of computed tomography-based finite element analyses of the vertebra.](https://www.ncbi.nlm.nih.gov/pubmed/31506861),Effect of fabric on the accuracy of computed tomography-based finite element analyses of the vertebra.,"Quantitative computed tomography (QCT)-based finite element (FE) models of the vertebra are widely used in studying spine biomechanics and mechanobiology, but their accuracy has not been fully established. Although the models typically assign material properties based only on local bone mineral density (BMD), the mechanical behavior of trabecular bone also depends on fabric. The goal of this study was to determine the effect of incorporating measurements of fabric on the accuracy of FE predictions of vertebral deformation. Accuracy was assessed by using displacement fields measured via digital volume correlation-applied to time-lapse microcomputed tomography (μCT)-as the gold standard. Two QCT-based FE models were generated from human L1 vertebrae (n = 11): the entire vertebral body and a cuboid-shaped portion of the trabecular centrum [dimensions: (20-30) × (15-20) × (15-20) mm<sup>3</sup>]. For axial compression boundary conditions, there was no difference (p = 0.40) in the accuracy of the FE-computed displacements for models using material properties based on local values of BMD versus those using material properties based on local values of fabric and volume fraction. However, when using BMD-based material properties, errors were higher for the vertebral-body models (8.4-50.1%) than cuboid models (1.5-19.6%), suggesting that these properties are inaccurate in the peripheral regions of the centrum. Errors also increased when assuming that the cuboid region experienced uniaxial loading during axial compression of the vertebra. These findings indicate that a BMD-based constitutive model is not sufficient for the peripheral region of the vertebral body when seeking accurate QCT-based FE modeling of the vertebra."
identification vivo nonlinear anisotropic mechanical properties ascending thoracic aortic aneurysm patient specific ct scans,CARDIOVASCULAR/CARDIOPULMONARY,97.2% CARDIOVASCULAR/CARDIOPULMONARY; 1.4% TISSUE/BIOMATERIAL; 0.6% MODELING,"Liu M, Liang L, Sulejmani F, Lou X, Iannucci G, Chen E, Leshnower B, Sun W,",*Scientific reports*,* [Identification of in vivo nonlinear anisotropic mechanical properties of ascending thoracic aortic aneurysm from patient-specific CT scans.](https://www.ncbi.nlm.nih.gov/pubmed/31506507),Identification of in vivo nonlinear anisotropic mechanical properties of ascending thoracic aortic aneurysm from patient-specific CT scans.,"Accurate identification of in vivo nonlinear, anisotropic mechanical properties of the aortic wall of individual patients remains to be one of the critical challenges in the field of cardiovascular biomechanics. Since only the physiologically loaded states of the aorta are given from in vivo clinical images, inverse approaches, which take into account of the unloaded configuration, are needed for in vivo material parameter identification. Existing inverse methods are computationally expensive, which take days to weeks to complete for a single patient, inhibiting fast feedback for clinicians. Moreover, the current inverse methods have only been evaluated using synthetic data. In this study, we improved our recently developed multi-resolution direct search (MRDS) approach and the computation time cost was reduced to 1~2 hours. Using the improved MRDS approach, we estimated in vivo aortic tissue elastic properties of two ascending thoracic aortic aneurysm (ATAA) patients from pre-operative gated CT scans. For comparison, corresponding surgically-resected aortic wall tissue samples were obtained and subjected to planar biaxial tests. Relatively close matches were achieved for the in vivo-identified and ex vivo-fitted stress-stretch responses. It is hoped that further development of this inverse approach can enable an accurate identification of the in vivo material parameters from in vivo image data."
mir 486 modulated stretch increases ventricular growth,CARDIOVASCULAR/CARDIOPULMONARY,95.7% CARDIOVASCULAR/CARDIOPULMONARY; 1.5% CELLULAR/SUBCELLULAR; 1.2% TISSUE/BIOMATERIAL,"Lange S, Banerjee I, Carrion K, Serrano R, Habich L, Kameny R, Lengenfelder L, Dalton N, Meili R, Börgeson E, Peterson K, Ricci M, Lincoln J, Ghassemian M, Fineman JR, Del Álamo JC, Nigam V,",*JCI insight*,* [miR-486 is modulated by stretch and increases ventricular growth.](https://www.ncbi.nlm.nih.gov/pubmed/31513548),miR-486 is modulated by stretch and increases ventricular growth.,"Perturbations in biomechanical stimuli during cardiac development contribute to congenital cardiac defects such as Hypoplastic Left Heart Syndrome (HLHS). This study sought to identify stretch-responsive pathways involved in cardiac development. microRNA (miRNA)-Sequencing identified miR-486 as being increased in cardiomyocytes exposed to cyclic stretch in vitro (63%, p<0.002). The right ventricles of HLHS patients experience increased stretch and have a trend towards higher miR-486 levels 4.9-fold (p=0.08). Sheep RVs dilated from excessive pulmonary blood flow have 60% more miR-486 vs. control RVs (p<0.05). The left ventricles of newborn mice treated with miR-486 mimic are 16.9%-24.6% larger (p<0.01) and display 2.48 fold increase in cardiomyocyte proliferation (p<0.01). miR-486 treatment decreases FoxO1 and Smad signaling, while increasing the protein levels of Stat1. Stat1 associates with Gata4 and Serum Response Factor (Srf), two key cardiac transcription factors whose protein levels increase in response to miR-486. This is the first report of a stretch-responsive miRNA that increases the growth of the ventricle in vivo."
quantification regional bioarchitecture human aorta,CARDIOVASCULAR/CARDIOPULMONARY,94.7% CARDIOVASCULAR/CARDIOPULMONARY; 2.8% TISSUE/BIOMATERIAL; 1.1% MODELING,"Concannon J, Dockery P, Black A, Sultan S, Hynes N, McHugh PE, Moerman KM, McGarry JP,",*Journal of anatomy*,* [Quantification of the regional bioarchitecture in the human aorta.](https://www.ncbi.nlm.nih.gov/pubmed/31512228),Quantification of the regional bioarchitecture in the human aorta.,"Regional variance in human aortic bioarchitecture responsible for the elasticity of the vessel is poorly understood. The current study quantifies the elements responsible for aortic compliance, namely, elastin, collagen and smooth muscle cells, using histological and stereological techniques on human tissue with a focus on regional heterogeneity. Using donated cadaveric tissue, a series of samples were excised between the proximal ascending aorta and the distal abdominal aorta, for five cadavers, each of which underwent various staining procedures to enhance specific constituents of the wall. Using polarised light microscopy techniques, the orientation of collagen fibres was studied for each location and each tunical layer of the aorta. Significant transmural and longitudinal heterogeneity in collagen fibre orientations were uncovered throughout the vessel. It is shown that a von Mises mixture model is required accurately to fit the complex collagen fibre distributions that exist along the aorta. Additionally, collagen and smooth muscle cell density was observed to increase with increasing distance from the heart, whereas elastin density decreased. Evidence clearly demonstrates that the aorta is a highly heterogeneous vessel which cannot be simplistically represented by a single compliance value. The quantification and fitting of the regional aortic bioarchitectural data, although not without its limitations, including mean cohort age of 77.6 years, facilitates the development of next-generation finite element models that can potentially simulate the influence of regional aortic composition and microstructure on vessel biomechanics."
investigation layer specific tissue biomechanics porcine atrioventricular valve anterior leaflets,CARDIOVASCULAR/CARDIOPULMONARY,97.9% CARDIOVASCULAR/CARDIOPULMONARY; 1.8% TISSUE/BIOMATERIAL; 0.2% MODELING,"Kramer KE, Ross CJ, Laurence DW, Babu AR, Wu Y, Towner RA, Mir A, Burkhart HM, Holzapfel GA, Lee CH,",*Acta biomaterialia*,* [An investigation of layer-specific tissue biomechanics of porcine atrioventricular valve anterior leaflets.](https://www.ncbi.nlm.nih.gov/pubmed/31260822),An investigation of layer-specific tissue biomechanics of porcine atrioventricular valve anterior leaflets.,"Atrioventricular heart valves (AHVs) are composed of structurally complex and morphologically heterogeneous leaflets. The coaptation of these leaflets during the cardiac cycle facilitates unidirectional blood flow. Valve regurgitation is treated preferably by surgical repair if possible or replacement based on the disease state of the valve tissue. A comprehensive understanding of valvular morphology and mechanical properties is crucial to refining computational models, serving as a patient-specific diagnostic and surgical tool for preoperative planning. Previous studies have modeled the stress distribution throughout the leaflet's thickness, but validations with layer-specific biaxial mechanical experiments are missing. In this study, we sought to fill this gap in literature by investigating the impact of microstructure constituents on mechanical behavior throughout the thickness of the AHVs' anterior leaflets. Porcine mitral valve anterior leaflets (MVAL) and tricuspid valve anterior leaflets (TVAL) were micro-dissected into three layers (atrialis/spongiosa, fibrosa, and ventricular) and two layers (atrialis/spongiosa and fibrosa/ventricularis), respectively, based on their relative distributions of extracellular matrix components as quantified by histological analyses: collagen, elastin, and glycosaminoglycans. Our results suggest that (i) for both valves, the atrialis/spongiosa layer is the most extensible and anisotropic layer, possibly due to its relatively low collagen content as compared to other layers, (ii) the intact TVAL response is stiffer than the atrialis/spongiosa layer but more compliant than the fibrosa/ventricularis layer, and (iii) the MVAL fibrosa and ventricularis layers behave nearly isotropic. These novel findings emphasize the biomechanical variances throughout the AHV leaflets, and our results could better inform future AHV computational model developments. STATEMENT OF SIGNIFICANCE: This study, which is the first of its kind for atrioventricular heart valve (AHV) leaflet tissue layers, rendered a mechanical characterization of the biaxial mechanical properties and distributions of extracellular matrix components (collagen, elastin, and glycosaminoglycans) of the mitral and tricuspid valve anterior leaflet layers. The novel findings from the present study emphasize the biomechanical variances throughout the thickness of AHV leaflets, and our results indicate that the previously-adopted homogenous leaflet in the AHV biomechanical modeling may be an oversimplification of the complex leaflet anatomy. Such improvement in the understanding of valvular morphology and tissue mechanics is crucial to future refinement of AHV computational models, serving as a patient-specific diagnostic and surgical tool, at the preoperative stage, for treating valvular heart diseases."
increased susceptibility mice obtained vitro fertilization global cerebral ischemia reperfusion injury possible role hydrogen sulfide biosynthetic enzymes,CARDIOVASCULAR/CARDIOPULMONARY,24.4% CARDIOVASCULAR/CARDIOPULMONARY; 24.1% NEURAL; 9.3% TISSUE/BIOMATERIAL,"Li H, Liu L, Dang M, Zhang W, Liu J,",*The International journal of neuroscience*,* [Increased Susceptibility of Mice obtained from In Vitro Fertilization to Global Cerebral Ischemia-Reperfusion Injury: Possible Role of Hydrogen Sulfide and its Biosynthetic Enzymes.](https://www.ncbi.nlm.nih.gov/pubmed/31516045),Increased Susceptibility of Mice obtained from In Vitro Fertilization to Global Cerebral Ischemia-Reperfusion Injury: Possible Role of Hydrogen Sulfide and its Biosynthetic Enzymes.,"The present study was designed to explore the relative susceptibility of <i>in vitro</i> fertilization (IVF)-conceived mice to global cerebral ischemic injury with the possible role of hydrogen sulfide and enzymes responsible for its production. IVF was carried to obtain pups, which were allowed to grow to the age of eight weeks. Thereafter, male mice were subjected to 20 minutes of global ischemia and 24 hours of reperfusion. The mice obtained from other groups including normal mating; superovulation, but normal mating and normal mating, but embryo implantation were also subjected to global ischemia-reperfusion (I/R) injury. IVF-derived mice exhibited significant more injury in response to I/R injury in comparison to other groups assessed in terms of impairment in locomotor activity, development of motor in coordination, neurological severity score, cerebral infarction, apoptosis markers (caspase-3 activity and Bcl-2 expression). Moreover, there was a relative decrease in the brain levels of hydrogen sulfide (H<sub>2</sub>S) and its biosynthetic enzymes viz. cystathionine-β-synthase and cystathionine-γ-lyase. Interestingly, the levels of H<sub>2</sub>S and cystathionine-γ-lyase were significantly low in IVF-derived mice in basal conditions also i.e. before subjecting to I/R injury and these biochemical alterations were associated with the behavioral deficits in mice, even before subjecting to I/R injury. It is concluded that i<i>n vitro</i> fertilization-derived mice are more susceptible to global cerebral ischemia reperfusion injury, which may be possibly due to decreased levels of hydrogen sulfide and its biosynthetic enzymes viz., cystathionine-β-synthase and cystathionine-γ-lyase."
sniffing behaviour related changes cardiac cortical activity rats,CARDIOVASCULAR/CARDIOPULMONARY,36.8% NEURAL; 17.1% CARDIOVASCULAR/CARDIOPULMONARY; 11.4% COMPARATIVE,"Kuga N, Nakayama R, Shikano Y, Nishimura Y, Okonogi T, Ikegaya Y, Sasaki T,",*The Journal of physiology*,* [Sniffing behaviour-related changes in cardiac and cortical activity in rats.](https://www.ncbi.nlm.nih.gov/pubmed/31512754),Sniffing behaviour-related changes in cardiac and cortical activity in rats.,"High-frequency (HF) sniffing represents active odour sampling and an increased animal's motivation We examined how HF sniffing affects the physiological activity of the brain-body system During HF sniffing, heart rates and the ratio of theta to delta critical local field potential power were comparable to those observed during motion periods Vagus nerve spike rates did not vary depending on HF sniffing. Our results suggest that physiological factors in the central nervous system and the periphery are not simply determined by locomotion but are crucially associated with HF sniffing."
