title,topic,pred_val,authors,journal,links,full_title
protective effect glycyrrhiza glabra roots extract bone mineral density ovariectomized rats,BONE,98.39895367622375,"Galanis D, Soultanis K, Lelovas P, Zervas A, Papadopoulos P, Galanos A, Argyropoulou K, Makropoulou M, Patsaki A, Passali C, Tsingotjidou A, Kourkoulis S, Mitakou S, Dontas I,",*BioMedicine*,* [Protective effect of Glycyrrhiza glabra roots extract on bone mineral density of ovariectomized rats.](https://www.ncbi.nlm.nih.gov/pubmed/31124454),Protective effect of Glycyrrhiza glabra roots extract on bone mineral density of ovariectomized rats.
characterization mechanical properties cranial bones 8 week old piglets effect strain rate region,BONE,70.56605815887451,"Li Z, Wang G, Ji C, Jiang J, Wang J, Wang J,",*Biomechanics and modeling in mechanobiology*,* [Characterization of the mechanical properties for cranial bones of 8-week-old piglets: the effect of strain rate and region.](https://www.ncbi.nlm.nih.gov/pubmed/31119413),Characterization of the mechanical properties for cranial bones of 8-week-old piglets: the effect of strain rate and region.
topical cutaneous application co sub 2 sub accelerates bone healing rat femoral defect model,BONE,73.30262064933777,"Kuroiwa Y, Fukui T, Takahara S, Lee SY, Oe K, Arakura M, Kumabe Y, Oda T, Matsumoto T, Matsushita T, Akisue T, Sakai Y, Kuroda R, Niikura T,",*BMC musculoskeletal disorders*,* [Topical cutaneous application of CO<sub>2</sub> accelerates bone healing in a rat femoral defect model.](https://www.ncbi.nlm.nih.gov/pubmed/31113412),Topical cutaneous application of CO<sub>2</sub> accelerates bone healing in a rat femoral defect model.
development open cell polyurethane based bone surrogates biomechanical testing pedicle screws,BONE,65.71614742279053,"Hollensteiner M, Esterer B, Fürst D, Schrempf A, Augat P,",*Journal of the mechanical behavior of biomedical materials*,* [Development of open-cell polyurethane-based bone surrogates for biomechanical testing of pedicle screws.](https://www.ncbi.nlm.nih.gov/pubmed/31132661),Development of open-cell polyurethane-based bone surrogates for biomechanical testing of pedicle screws.
spirometric assessment emphysema presence severity measured quantitative ct ct based radiomics copd,CARDIOVASCULAR/CARDIOPULMONARY,38.74143660068512,"Occhipinti M, Paoletti M, Bartholmai BJ, Rajagopalan S, Karwoski RA, Nardi C, Inchingolo R, Larici AR, Camiciottoli G, Lavorini F, Colagrande S, Brusasco V, Pistolesi M,",*Respiratory research*,* [Spirometric assessment of emphysema presence and severity as measured by quantitative CT and CT-based radiomics in COPD.](https://www.ncbi.nlm.nih.gov/pubmed/31122243),Spirometric assessment of emphysema presence and severity as measured by quantitative CT and CT-based radiomics in COPD.
mechanics tricuspid valve clinical diagnosis treatment vivo vitro investigations patient specific biomechanical modeling,CARDIOVASCULAR/CARDIOPULMONARY,98.62029552459717,"Lee CH, Laurence DW, Ross CJ, Kramer KE, Babu AR, Johnson EL, Hsu MC, Aggarwal A, Mir A, Burkhart HM, Towner RA, Baumwart R, Wu Y,","*Bioengineering (Basel, Switzerland)*","* [Mechanics of the Tricuspid Valve-From Clinical Diagnosis/Treatment, In-Vivo and In-Vitro Investigations, to Patient-Specific Biomechanical Modeling.](https://www.ncbi.nlm.nih.gov/pubmed/31121881)","Mechanics of the Tricuspid Valve-From Clinical Diagnosis/Treatment, In-Vivo and In-Vitro Investigations, to Patient-Specific Biomechanical Modeling."
large proportion patients small ruptured abdominal aortic aneurysms women chronic obstructive pulmonary disease,CARDIOVASCULAR/CARDIOPULMONARY,96.54972553253174,"Siika A, Lindquist Liljeqvist M, Zommorodi S, Nilsson O, Andersson P, Gasser TC, Roy J, Hultgren R,",*PloS one*,* [A large proportion of patients with small ruptured abdominal aortic aneurysms are women and have chronic obstructive pulmonary disease.](https://www.ncbi.nlm.nih.gov/pubmed/31136570),A large proportion of patients with small ruptured abdominal aortic aneurysms are women and have chronic obstructive pulmonary disease.
pressure ulcer summit 2018 interdisciplinary approach improve understanding risk pressure induced tissue damage,CARDIOVASCULAR/CARDIOPULMONARY,28.347837924957275,"Gould LJ, Bohn G, Bryant R, Paine T, Couch K, Cowan L, McFarland F, Simman R,",*Wound repair and regeneration : official publication of the Wound Healing Society [and] the European Tissue Repair Society*,* [Pressure Ulcer Summit 2018: An Interdisciplinary Approach to Improve Our Understanding of the Risk of Pressure-Induced Tissue Damage.](https://www.ncbi.nlm.nih.gov/pubmed/31120624),Pressure Ulcer Summit 2018: An Interdisciplinary Approach to Improve Our Understanding of the Risk of Pressure-Induced Tissue Damage.
mechanotransduction immunoregulation metabolic functions cd31 cardiovascular pathophysiology,CARDIOVASCULAR/CARDIOPULMONARY,68.6439037322998,"Caligiuri G,",*Cardiovascular research*,"* [Mechanotransduction, immunoregulation and metabolic functions of CD31 in cardiovascular pathophysiology.](https://www.ncbi.nlm.nih.gov/pubmed/31119265)","Mechanotransduction, immunoregulation and metabolic functions of CD31 in cardiovascular pathophysiology."
influence hematocrit hemodynamics artificial heart valve using fluid structure interaction analysis,CARDIOVASCULAR/CARDIOPULMONARY,99.56681728363037,"Yeh HH, Barannyk O, Grecov D, Oshkai P,",*Computers in biology and medicine*,* [The influence of hematocrit on the hemodynamics of artificial heart valve using fluid-structure interaction analysis.](https://www.ncbi.nlm.nih.gov/pubmed/31129417),The influence of hematocrit on the hemodynamics of artificial heart valve using fluid-structure interaction analysis.
