title,topic,pred_val,authors,journal,links,full_title,abstract
preclinical testing nalfurafine opioid sparing adjuvant potentiates analgesia mu opioid receptor targeting agonist morphine,BONE,75.6% BONE; 6.3% MODELING; 5.2% COMPARATIVE,"Kaski SW, White AN, Gross JD, Trexler KR, Wix K, Harland AA, Prisinzano TE, Aube J, Kinsey SG, Kenakin T, Siderovski D, Setola V,",*The Journal of pharmacology and experimental therapeutics*,* [Preclinical testing of nalfurafine as an opioid-sparing adjuvant that potentiates analgesia by the mu opioid receptor-targeting agonist morphine.](https://www.ncbi.nlm.nih.gov/pubmed/31492823),Preclinical testing of nalfurafine as an opioid-sparing adjuvant that potentiates analgesia by the mu opioid receptor-targeting agonist morphine.,"Mu opioid receptor (MOR)-targeting analgesics are efficacious pain treatments, but notorious for their abuse potential. In preclinical animal models, co administration of traditional kappa opioid receptor (KOR)-targeting agonists with MOR-targeting analgesics can decrease reward and potentiate analgesia. However, traditional KOR-targeting agonists are well known for inducing anti-therapeutic side effects (psychotomimesis, depression, anxiety, dysphoria). Recent data suggest that some functionally selective, or biased, KOR-targeting agonists might retain the therapeutic effects of KOR activation without inducing undesirable side effects. Nalfurafine, used safely in Japan since 2009 for uremic pruritus, is one such functionally selective KOR-targeting agonist. Here, we quantify the bias of nalfurafine and several other KOR agonists relative to an unbiased reference standard (U50,488), and show that nalfurafine and EOM-salvinorin-B demonstrate marked G protein-signaling bias. While nalfurafine (0.015 mg/kg) and EOM-salvinorin-B (1 mg/kg) produced spinal anti-nociception equivalent to 5 mg/kg U50,488, only nalfurafine significantly enhanced the supraspinal analgesic effect of 5 mg/kg morphine. In addition, 0.015 mg/kg nalfurafine did not produce significant conditioned place aversion (CPA), yet retained the ability to reduce morphine-induced conditioned place preference (CPP) in C57BL/6J mice. Nalfurafine and EOM-salvinorin-B each produced robust inhibition of both spontaneous and morphine-stimulated locomotor behavior, suggesting a persistence of sedative effects when co-administered with morphine. Taken together, these findings suggest that nalfurafine produces analgesic augmentation, while also reducing opioid-induced reward with less risk of dysphoria. Thus, adjuvant administration of G protein-biased KOR agonists like nalfurafine may be beneficial in enhancing the therapeutic potential of MOR-targeting analgesics, such as morphine. SIGNIFICANCE STATEMENT: N/A."
rat bone properties relationship gait growth,BONE,91.8% MODELING; 4.1% JOINT/CARTILAGE; 1.1% METHODS,"Song H, Polk JD, Kersh ME,",*The Journal of experimental biology*,* [Rat bone properties and their relationship to gait during growth.](https://www.ncbi.nlm.nih.gov/pubmed/31492819),Rat bone properties and their relationship to gait during growth.,"Allometric relationships have been queried over orders of mammals to understand how bone accommodates the mechanical demands associated with increasing mass. However, less attention has been given to the scaling of bone within a single lifetime. We aimed to determine how bone morphology and tissue density are related to (1) bending and compressive strength, and (2) gait dynamics. Longitudinal in vivo computed tomography of the hindlimbs and gait data were collected from female rats (n=5, age 8 - 20 weeks). Cross sectional properties and tissue density were measured at the diaphysis, distal, and proximal regions of the tibia and scaling exponents were calculated. Finite element models of the tibia were used to simulate loading during walking using joint forces from inverse dynamics calculation to determine the strain energy density (SED) and longitudinal strain at the midshaft. Second moment of area at the diaphysis followed strain similarity based allometry, while bone area trended towards positive allometry. Strain energy in the diaphysis under transverse loading was lower than axial loading throughout growth. While both axial and transverse loading resulted in bending, tensile strains were mitigated by a change in the neutral axis and resulted in overall lower longitudinal tensile strains. The tissue density and cross-sectional properties initially increased and converged by 11 weeks of age and were correlated with changes in ground reaction forces. The scaling analyses imply that rodent tibia is (re)modeled in order to sustain bending at the midshaft during growth. The finite element results and relatively constant density after 10 weeks of age indicate that structural parameters may be the primary determinant of bone strength in the growing rodent tibia. The correlations between bone properties and joint angles imply that the changes in posture may affect bone growth in specific regions. Data for this work are available at uitbl.mechse.illinois.edu/downloads."
applying vibration early postmenopausal osteoporosis promotes osteogenic differentiation bone marrow derived mesenchymal stem cells suppresses postmenopausal osteoporosis progression,BONE,97.8% GAIT/LOCOMOTION; 0.6% SPORT/EXERCISE; 0.6% COMPARATIVE,"Li H, Wu W, He X, Cao C, Yu X, Zeng Y, Li L,",*Bioscience reports*,* [Applying vibration in early postmenopausal osteoporosis promotes osteogenic differentiation of bone marrow-derived mesenchymal stem cells and suppresses postmenopausal osteoporosis progression.](https://www.ncbi.nlm.nih.gov/pubmed/31406012),Applying vibration in early postmenopausal osteoporosis promotes osteogenic differentiation of bone marrow-derived mesenchymal stem cells and suppresses postmenopausal osteoporosis progression.,"We aimed to evaluate whether applying low magnitude vibration (LMV) in early postmenopausal osteoporosis (PMO) suppresses its progression, and to investigate underlying mechanisms. Rats were randomly divided into Sham (Sham-operated), Sham+V, OVX (ovariectomized), OVX+E2 (estradiol benzoate), OVX+V (LMV at 12-20 weeks postoperatively), and OVX+Vi (LMV at 1-20 weeks postoperatively) groups. LMV was applied for 20 min once daily for 5 days weekly. V rats were loaded with LMV at 12-20 weeks postoperatively. Vi rats were loaded with LMV at 1-20 weeks postoperatively. Estradiol (E2) rats were intramuscularly injected at 12-20 weeks postoperatively once daily for 3 days. The bone mineral densities (BMDs), biomechanical properties, and histomorphological parameters of tibiae were analyzed. <i>In vitro</i>, rat bone marrow-derived mesenchymal stem cells (rBMSCs) were subjected to LMV for 30 min daily for 5 days, or 17β-E2 with or without 1-day pretreatment of estrogen receptor (ER) inhibitor ICI 182,780 (ICI). The mRNA and protein expresion were performed. Data showed that LMV increased BMD, bone strength, and bone mass of rats, and the effects of Vi were stronger than those of E2. <i>In vitro</i>, LMV up-regulated the mRNA and protein expressions of Runx2, Osx, Col I, and OCN and down-regulated PPARγ, compared with E2. The effects of both LMV and E2 on rBMSCs were inhibited by ICI. Altogether, LMV in early PMO suppresses its progression, which is associated with osteogenic differentiation of rBMSCs via up-regulation of ERα and activation of the canonical Wnt pathway. LMV may therefore be superior to E2 for the suppression of PMO progression."
cortical bone distribution femoral neck paranthropus robustus,BONE,98.2% EVOLUTION/ANTHROPOLOGY; 0.8% COMPARATIVE; 0.6% BONE,"Cazenave M, Braga J, Oettlé A, Pickering TR, Heaton JL, Nakatsukasa M, Thackeray JF, de Beer F, Hoffman J, Dumoncel J, Macchiarelli R,",*Journal of human evolution*,* [Cortical bone distribution in the femoral neck of Paranthropus robustus.](https://www.ncbi.nlm.nih.gov/pubmed/31499455),Cortical bone distribution in the femoral neck of Paranthropus robustus.,"Studies of the australopith (Australopithecus and Paranthropus) proximal femur have increasingly integrated information from the local arrangement of the cortical and cancellous bone to allow functional-biomechanical inferences on the locomotor behavioral patterns. In Australopithecus africanus and Paranthropus robustus, the cancellous bone organization at the center of the femoral head shows principal strut orientation similar to that of fossil and recent humans, which indicates that australopiths were human-like in many aspects of their bipedalism. However, by combining outer morphology with superoinferior asymmetry in cortical bone thickness at the base of neck and mid-neck, it has been suggested that, while adapted for terrestrial bipedality, australopiths displayed a slightly altered gait kinematics compared to Homo. We used techniques of 2D and 3D virtual imaging applied to an X-ray microtomographic record to assess cortical bone distribution along the entire femoral neck compartment in four upper femora from Swartkrans, South Africa (SK 82, SK 97, SK 3121, and SWT1/LB-2) and compared the results to the extant human and chimpanzee conditions. Our results support and extend previous evidence for more symmetric superior and inferior femoral neck cortical thicknesses in P. robustus than in modern humans and show that the differences are even greater than previously reported. However, P. robustus and humans still share a trend of lateral-to-medial decrease in asymmetry of the superior/inferior cortical thickness ratio, while this pattern is reversed in chimpanzees. We also identified two features uniquely characterizing P. robustus: an accentuated contrast between the relatively thicker anterior and the thinner posterior walls, and a more marked lateral-to-medial thinning of both cortices compared to extant humans and chimpanzees, which indicate wider interspecific differences among hominids in structural organization of the proximal femur than previously reported. It remains to be ascertained if, and to what extent, these features also characterize the femoral neck of Australopithecus."
biomechanical performance intramedullary echidna pin fixation comminuted mid shaft clavicle fractures,BONE,90.4% SPORT/EXERCISE; 4.6% REHABILITATION; 4.1% GAIT/LOCOMOTION,"Sidhu N, Huntington LS, Richardson M, Ackland DC,",*ANZ journal of surgery*,* [Biomechanical performance of an intramedullary Echidna pin for fixation of comminuted mid-shaft clavicle fractures.](https://www.ncbi.nlm.nih.gov/pubmed/31480097),Biomechanical performance of an intramedullary Echidna pin for fixation of comminuted mid-shaft clavicle fractures.,"Surgical fixation of comminuted mid-shaft clavicle fractures commonly employs intramedullary devices; however, pins with smooth surfaces are prone to migration, whilst threaded pins can be challenging to remove post-operatively. The aim of this study was to evaluate the biomechanical performance of fractured clavicles repaired using a novel intramedullary Echidna pin device and a non-threaded Knowles pin. The Echidna pin features retractable spines that engage with the bone to minimize migration and facilitate ease of device removal."
sex specific muscular mediation relationship physical activity cortical bone young adults,BONE,44.4% SPORT/EXERCISE; 16.2% BONE; 9.6% METHODS,"Higgins S, Sokolowski CM, Vishwanathan M, Schmidt MD, Evans EM, Lewis RD,",*Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research*,* [Sex-Specific Muscular Mediation of the Relationship between Physical Activity and Cortical Bone in Young Adults.](https://www.ncbi.nlm.nih.gov/pubmed/31499590),Sex-Specific Muscular Mediation of the Relationship between Physical Activity and Cortical Bone in Young Adults.,"Muscle mass is a commonly cited mediator of the relationship between physical activity (PA) and bone, representing the mechanical forces generated during PA. However, neuromuscular properties (e.g. peak force) also account for unique portions of variance in skeletal outcomes. We utilized serial multiple mediation to explore the intermediary role of muscle mass and force in the relationships between cortical bone and moderate-to-vigorous intensity PA (MVPA). In a cross-sectional sample of young adults (n = 147, 19.7 ± 0.7 yo, 52.4% female) cortical diaphyseal bone was assessed via peripheral quantitative computed tomography at the mid-tibia. Peak isokinetic torque in knee extension was assessed via Biodex dynamometer. Thigh fat-free soft tissue (FFST) mass, assessed via dual-energy X-ray absorptiometer, represented the muscular aspect of tibial mechanical forces. Habitual MVPA was assessed objectively over 7 days using Actigraph GT3X+ accelerometers. Participants exceeded MVPA guidelines (89.14 ± 27.29 minutes/day), with males performing 44.5% more vigorous-intensity activity relative to females (p < .05). Males had greater knee extension torque and thigh FFST mass compared to females (55.3%, and 34.2%, respectively, all p < .05). In combined-sex models, controlling for tibia length and age, MVPA was associated with strength strain index (pSSI) through two indirect pathways: 1) thigh FFST mass (Coeff. = 1.11 ± .37, CI: .47-1.93), and 2) thigh FFST mass and knee extensor torque in sequence (Coeff. = .30 ± .16, CI: .09-.73). However, in sex-specific models MVPA was associated with pSSI indirectly through its relationship with knee extensor torque in males (Coeff. = .78 ± .48, CI: .04-2.02) and thigh FFST mass in females (Coeff. = 1.12 ± .50, CI: .37-2.46). Bootstrapped confidence intervals confirmed these mediation pathways. The relationship between MVPA and cortical structure appears to be mediated by muscle in young adults, with potential sex-differences in the muscular pathway. If confirmed, these findings may highlight novel avenues for the promotion of bone strength in young adults. This article is protected by copyright. All rights reserved."
complete upper airway collapse apnoea tethered swimming horses,CARDIOVASCULAR/CARDIOPULMONARY,33.8% CARDIOVASCULAR/CARDIOPULMONARY; 18.3% MODELING; 12.2% COMPARATIVE,"Jones S, Franklin S, Martin C, Steel C,",*Equine veterinary journal*,* [Complete upper airway collapse and apnoea during tethered swimming in horses.](https://www.ncbi.nlm.nih.gov/pubmed/31495963),Complete upper airway collapse and apnoea during tethered swimming in horses.,There is limited knowledge of the breathing strategy and impact on the patency of the upper respiratory tract (URT) in swimming horses.
blood flow suppresses vascular anomalies zebrafish model cerebral cavernous malformations,CARDIOVASCULAR/CARDIOPULMONARY,80.1% CARDIOVASCULAR/CARDIOPULMONARY; 3.7% MODELING; 3.6% NEURAL,"Rödel CJ, Otten C, Donat S, Lourenco M, Fischer D, Kuropka B, Paolini A, Freund C, Abdelilah-Seyfried S,",*Circulation research*,* [Blood Flow Suppresses Vascular Anomalies in a Zebrafish Model of Cerebral Cavernous Malformations.](https://www.ncbi.nlm.nih.gov/pubmed/31495257),Blood Flow Suppresses Vascular Anomalies in a Zebrafish Model of Cerebral Cavernous Malformations.,"Pathological biomechanical signaling induces vascular anomalies including cerebral cavernous malformations (CCM), which are caused by a clonal loss of CCM1/KRIT1, CCM2/MGC4607, or CCM3/PDCD10. Why patients typically experience lesions only in lowly-perfused venous capillaries of the cerebrovasculature is completely unknown."
astigmatism correction using small incision lenticule extraction,CARDIOVASCULAR/CARDIOPULMONARY,97.7% CARDIOVASCULAR/CARDIOPULMONARY; 1.0% CELLULAR/SUBCELLULAR; 0.8% TISSUE/BIOMATERIAL,"Chow SSW, Chow LLW, Lee CZ, Chan TCY,","*Asia-Pacific journal of ophthalmology (Philadelphia, Pa.)*",* [Astigmatism Correction Using Small Incision Lenticule Extraction.](https://www.ncbi.nlm.nih.gov/pubmed/31490198),Astigmatism Correction Using Small Incision Lenticule Extraction.,"Small incision lenticule extraction (SMILE) was introduced in the recent decade for the treatment of myopia and myopic astigmatism. This flap-free technique has a high efficacy and safety profile and also carries potential advantages over laser in situ keratomileusis such as a better corneal biomechanical stability, reduction in dry eyes rate, and the avoidance of flap complications. However, there have been concerns regarding the precision of astigmatism correction that undercorrection has been reported to be apparent. Various factors that affect astigmatism correction have been identified in the literature. The purpose of this review is to discuss the factors that affect astigmatism correction in SMILE and several techniques to improve the refractive outcomes."
rise fall elastic fibers development aging consequences arterial structure function therapeutical perspectives,CARDIOVASCULAR/CARDOPULMONARY,50.2% CELLULAR/SUBCELLULAR; 11.5% COMPARATIVE; 8.7% EVOLUTION/ANTHROPOLOGY,"Fhayli W, Boëté Q, Harki O, Briançon-Marjollet A, Jacob MP, Faury G,",*Matrix biology : journal of the International Society for Matrix Biology*,* [Rise and fall of elastic fibers from development to aging. Consequences on arterial structure-function and therapeutical perspectives.](https://www.ncbi.nlm.nih.gov/pubmed/31493460),Rise and fall of elastic fibers from development to aging. Consequences on arterial structure-function and therapeutical perspectives.,"In the arteries of vertebrates, evolution has given rise to resilient macromolecular structures, elastin and elastic fibers, capable of sustaining an elevated blood pressure and smoothing the discontinuous blood flow and pressure generated by the heart. Elastic fibers are produced only during development and childhood, before being progressively degraded by mechanical stress and enzymatic activities during adulthood and aging. During this period, arterial elastic fiber calcification and loading of lipids also occur, all of these events conducting to arteriosclerosis. This leads to a progressive dysfunction of the large elastic arteries inducing elevated blood pressure as well as altered hemodynamics and organ perfusion, which induce more global malfunctions of the body during normal aging. Additionally, some arterial conditions occur more frequently with advancing age, such as atherosclerosis or aneurysms, which are called age-related diseases or pathological aging. The physiological or pathological degradation of elastic fibers and function of elastic arteries seemed to be rather inevitable over time. However, during the recent years, different molecules - including several ATP-dependent potassium channel openers - have been shown to re-induce elastin production and elastic fiber assembly, leading to improvements in the arterial structure and function or in organ perfusion. This review summarizes the changes in the arterial elastic fibers and structure from development until aging, and presents some of the potential pharmacotherapies leading to elastic fiber neosynthesis and arterial function improvement."
